pass,category,name,size,players,version,difficulty,water,rock,nongrass,water_touched,land_components,obj_count,hero,rhero,town,rtown,mine,garrison,water_objs,teams,underground,zmax,border_gates,victory,loss,skipped,reject,h3m
0,strict,Dragon Pass,72,4,AB,1,0,0,4439,False,1,2467,0,0,0,4,29,0,0,0,1,1,2,-1,-1,176,UNDERGROUND;ZMAX=1;GATE,Dragon Pass.h3m
0,strict,Dragon Pass (Allies),72,4,AB,1,0,0,4439,False,1,2463,0,0,0,4,29,0,0,2,1,1,2,-1,-1,80,UNDERGROUND;ZMAX=1;GATE;TEAMS=2,Dragon Pass (Allies).h3m
0,strict,Dwarven Tunnels,72,4,AB,1,0,0,4378,False,1,2508,0,0,15,0,46,0,0,0,1,1,0,-1,-1,28,UNDERGROUND;ZMAX=1,Dwarven Tunnels.h3m
0,strict,Dwarven Tunnels(Allies),72,4,AB,1,0,0,4378,False,1,2508,0,0,15,0,46,0,0,2,1,1,0,-1,-1,28,UNDERGROUND;ZMAX=1;TEAMS=2,Dwarven Tunnels(Allies).h3m
0,open,Emerald Isles,72,4,ROE,1,2335,0,4074,True,7,904,1,0,0,4,24,0,26,0,0,0,0,-1,-1,530,OPEN_WATER,Emerald Isles.h3m
0,open,Emerald IslesA,72,4,ROE,1,2335,0,4074,True,7,904,1,0,0,4,24,0,26,2,0,0,0,-1,-1,530,OPEN_WATER;TEAMS=2,Emerald IslesA.h3m
0,open,Faeries,72,2,AB,0,802,0,3874,True,1,2095,0,0,7,0,29,2,5,0,1,1,0,-1,-1,140,UNDERGROUND;ZMAX=1;OPEN_WATER,Faeries.h3m
0,open,Gelea's Champions,72,5,AB,1,1865,0,5150,True,3,2724,0,0,7,4,47,3,32,0,1,1,0,-1,-1,144,UNDERGROUND;ZMAX=1;OPEN_WATER,Gelea's Champions.h3m
0,open,Gelea's Champions (Allies),72,5,AB,1,1865,0,5150,True,3,2726,0,0,7,4,47,3,32,2,1,1,0,-1,-1,144,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,Gelea's Champions (Allies).h3m
0,open,Goblins in the Pantry,72,3,SOD,1,916,0,3272,True,1,1660,0,0,9,0,25,0,9,0,0,0,0,8,-1,12,OPEN_WATER,Goblins in the Pantry.h3m
0,strict,Golems Aplenty,72,4,SOD,1,0,0,3714,False,1,2099,0,0,1,4,35,0,0,0,1,1,0,-1,-1,44,UNDERGROUND;ZMAX=1,Golems Aplenty.h3m
0,strict,Golems Aplenty Allied,72,4,SOD,1,0,0,3714,False,1,2099,0,0,1,4,35,0,0,2,1,1,0,-1,-1,44,UNDERGROUND;ZMAX=1;TEAMS=2,Golems Aplenty Allied.h3m
0,open,Gorlam's Tentacle Swampland,72,2,SOD,1,2288,0,5184,True,1,1193,0,0,0,2,6,1,29,0,1,1,0,9,2,24,UNDERGROUND;ZMAX=1;OPEN_WATER,Gorlam's Tentacle Swampland.h3m
0,open,Hatchet Axe and Saw,72,2,SOD,1,270,0,702,True,1,1521,0,0,4,0,18,5,0,0,0,0,0,8,-1,0,OPEN_WATER,Hatchet Axe and Saw.h3m
0,strict,Heroes of Might not Magic,72,6,SOD,1,0,0,2456,False,1,2770,1,6,0,7,58,5,2,0,1,1,0,-1,-1,292,UNDERGROUND;ZMAX=1,Heroes of Might not Magic.h3m
0,strict,Heroes of Might not Magic Allied,72,6,SOD,1,0,0,2456,False,1,2770,1,6,0,7,58,5,2,3,1,1,0,-1,-1,292,UNDERGROUND;ZMAX=1;TEAMS=3,Heroes of Might not Magic Allied.h3m
0,open,Hoard,72,4,AB,1,804,0,3777,True,1,2549,2,0,10,2,47,0,29,0,1,1,0,-1,-1,192,UNDERGROUND;ZMAX=1;OPEN_WATER,Hoard.h3m
0,open,Hoard(Allies),72,4,AB,1,804,0,3777,True,1,2549,2,0,10,2,47,0,29,2,1,1,0,-1,-1,192,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,Hoard(Allies).h3m
0,open,Hold the middle,72,4,AB,1,363,0,4522,True,1,1967,0,0,5,0,31,0,4,0,1,1,0,3,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Hold the middle.h3m
0,open,Island of Fire,72,1,ROE,1,1374,0,2136,True,5,2106,0,0,3,0,12,0,34,0,1,1,0,7,2,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Island of Fire.h3m
0,open,Just A Visit,72,4,SOD,3,1017,0,3911,True,4,1113,0,3,0,9,28,0,37,0,0,0,0,-1,-1,44,OPEN_WATER,Just A Visit.h3m
0,open,Knight of Darkness,72,4,ROE,1,1803,0,3944,True,3,2073,0,0,3,1,26,0,1,0,1,1,0,6,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Knight of Darkness.h3m
0,open,Merchant Princes,72,4,SOD,1,1916,0,3592,True,5,1156,0,0,11,0,42,0,5,0,0,0,0,-1,-1,0,OPEN_WATER,Merchant Princes.h3m
0,open,Merchant Princes Allied,72,4,SOD,1,1916,0,3592,True,5,1156,0,0,11,0,42,0,5,2,0,0,0,-1,-1,0,OPEN_WATER;TEAMS=2,Merchant Princes Allied.h3m
0,open,One Bad Day - Allied,72,4,SOD,2,234,0,3689,True,1,1393,0,0,0,6,24,0,6,2,0,0,0,-1,-1,80,OPEN_WATER;TEAMS=2,One Bad Day - Allied.h3m
0,open,Overthrow Thy Neighbors,72,3,ROE,1,1098,0,4311,True,2,1676,1,0,3,1,52,0,9,0,1,1,0,9,-1,135,UNDERGROUND;ZMAX=1;OPEN_WATER,Overthrow Thy Neighbors.h3m
0,open,Peacemaker,72,5,ROE,1,1967,0,3569,True,5,1228,2,0,1,5,37,0,55,0,0,0,0,6,2,197,OPEN_WATER,Peacemaker.h3m
0,open,Pirates,72,5,ROE,1,2707,0,3900,True,2,855,0,1,4,1,29,0,22,0,0,0,0,-1,-1,167,OPEN_WATER,Pirates.h3m
0,open,Race for the Town,72,5,SOD,1,1,0,2247,True,1,1615,0,5,0,6,28,0,3,0,0,0,0,6,-1,66,OPEN_WATER,Race for the Town.h3m
0,open,Ready or Not,72,3,AB,1,1193,0,2917,True,4,1679,0,0,6,0,29,0,5,0,1,1,0,-1,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Ready or Not.h3m
0,open,Realm of Chaos,72,8,ROE,1,1352,0,4359,True,2,3030,0,0,8,0,61,0,65,0,1,1,0,-1,-1,4,UNDERGROUND;ZMAX=1;OPEN_WATER,Realm of Chaos.h3m
0,open,Realm of ChaosA,72,8,ROE,1,1352,0,4359,True,2,3030,0,0,8,0,61,0,65,3,1,1,0,-1,-1,4,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=3,Realm of ChaosA.h3m
0,open,Rebellion,72,3,ROE,1,452,0,3972,True,2,1336,0,0,3,1,17,0,1,0,0,0,0,4,-1,8,OPEN_WATER,Rebellion.h3m
0,open,Rediscovery,72,4,AB,1,589,0,3795,True,2,3464,0,0,0,14,48,0,43,0,1,1,0,-1,-1,134,UNDERGROUND;ZMAX=1;OPEN_WATER,Rediscovery.h3m
0,open,Rumble in the Bogs,72,5,ROE,1,1265,0,3195,True,1,1603,0,0,5,4,18,0,10,0,1,1,0,-1,-1,4,UNDERGROUND;ZMAX=1;OPEN_WATER,Rumble in the Bogs.h3m
0,open,Rumble in the BogsA,72,5,ROE,1,1265,0,3195,True,1,1603,0,0,5,4,18,0,10,3,1,1,0,-1,-1,4,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=3,Rumble in the BogsA.h3m
0,open,Sangraal's Thief,72,7,SOD,1,1,0,2233,True,1,2787,3,7,0,8,39,1,4,0,1,1,1,4,-1,142,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,Sangraal's Thief.h3m
0,open,Sangraal's Thief Allied,72,7,SOD,1,1,0,2233,True,1,2787,3,7,0,8,39,1,4,4,1,1,1,4,-1,142,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER;TEAMS=4,Sangraal's Thief Allied.h3m
0,open,Search for the Grail,72,4,ROE,2,2420,0,3370,True,11,1277,1,0,1,3,28,0,36,0,1,1,0,4,-1,186,UNDERGROUND;ZMAX=1;OPEN_WATER,Search for the Grail.h3m
0,strict,Shadow Valleys,72,5,SOD,2,0,0,5184,False,1,1090,0,1,4,4,42,0,0,0,1,1,0,-1,-1,16,UNDERGROUND;ZMAX=1,Shadow Valleys.h3m
0,open,Step by Step,72,6,AB,1,896,0,4150,True,3,2656,0,0,0,15,53,0,3,0,1,1,1,-1,-1,120,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,Step by Step.h3m
0,open,Step by Step (Allies),72,6,AB,1,896,0,4150,True,3,2655,0,0,0,15,53,0,3,3,1,1,1,-1,-1,120,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER;TEAMS=3,Step by Step (Allies).h3m
0,open,The Challenge,72,3,AB,1,1205,0,4831,True,5,2150,0,0,6,2,28,1,15,0,0,0,0,4,2,38,OPEN_WATER,The Challenge.h3m
0,strict,The Great Race,72,4,SOD,2,0,0,2385,False,1,1935,0,4,0,6,30,0,2,0,0,0,1,6,-1,212,GATE,The Great Race.h3m
0,open,Tovar's Fortress,72,5,AB,1,385,0,4253,True,3,2433,0,2,3,4,29,1,2,0,1,1,2,6,-1,187,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,Tovar's Fortress.h3m
0,open,Tovar's Fortress (Allies),72,5,AB,1,385,0,4253,True,3,2433,0,2,3,4,29,1,2,3,1,1,2,6,-1,187,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER;TEAMS=3,Tovar's Fortress (Allies).h3m
0,open,Treasure Hunt,72,3,AB,1,2194,0,4814,True,6,2088,0,3,0,3,35,8,10,0,0,0,0,9,-1,40,OPEN_WATER,Treasure Hunt.h3m
0,open,Undead Unrest,72,3,AB,1,577,0,5184,True,1,2182,0,0,1,4,25,1,18,0,1,1,0,0,-1,64,UNDERGROUND;ZMAX=1;OPEN_WATER,Undead Unrest.h3m
0,strict,Unexpected Inheritance,72,2,AB,1,0,0,1672,False,1,1917,0,0,4,1,25,2,0,0,1,1,0,-1,-1,28,UNDERGROUND;ZMAX=1,Unexpected Inheritance.h3m
0,open,Valleys of War,72,4,AB,1,1049,0,2561,True,5,3071,1,0,1,12,33,4,64,0,1,1,1,-1,-1,64,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,Valleys of War.h3m
0,open,When Dragons Clash,72,2,ROE,1,201,0,1291,True,1,1813,0,0,6,0,33,0,0,0,1,1,0,8,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,When Dragons Clash.h3m
0,open,Wings of War,72,5,ROE,2,2896,0,5180,True,1,877,1,0,1,4,23,2,61,0,0,0,0,5,-1,96,OPEN_WATER,Wings of War.h3m
0,open,Brave New World,108,8,AB,2,3644,0,10046,True,13,3253,0,8,0,11,53,2,114,0,0,0,0,-1,-1,182,OPEN_WATER,Brave New World.h3m
0,open,Brave New World(Allies),108,8,AB,2,3644,0,10046,True,13,3252,0,8,0,11,53,2,114,4,0,0,0,-1,-1,182,OPEN_WATER;TEAMS=4,Brave New World(Allies).h3m
0,open,Free for All,108,8,ROE,1,1330,0,8200,True,1,4198,0,0,20,0,75,0,0,0,1,1,0,-1,-1,64,UNDERGROUND;ZMAX=1;OPEN_WATER,Free for All.h3m
0,open,"Good Witch, Bad Witch",108,2,SOD,3,5251,0,11664,True,3,2831,0,0,5,0,15,1,44,0,0,0,0,5,2,513,OPEN_WATER,"Good Witch, Bad Witch.h3m"
0,open,Island King,108,7,SOD,2,4869,0,9156,True,5,2937,1,7,0,9,46,0,74,0,0,0,0,-1,-1,74,OPEN_WATER,Island King.h3m
0,open,Island King Allied,108,7,SOD,2,4869,0,9156,True,5,2937,1,7,0,9,46,0,74,4,0,0,0,-1,-1,74,OPEN_WATER;TEAMS=4,Island King Allied.h3m
0,open,Islands and Caves,108,6,ROE,2,6799,0,7155,True,20,2885,0,0,4,12,49,0,31,0,1,1,0,-1,-1,36,UNDERGROUND;ZMAX=1;OPEN_WATER,Islands and Caves.h3m
0,open,Kingdom for sale,108,5,AB,1,3101,0,9285,True,13,3700,1,0,0,21,52,0,75,0,0,0,0,-1,-1,132,OPEN_WATER,Kingdom for sale.h3m
0,open,Kingdom for sale(allies),108,5,AB,1,3101,0,9285,True,13,3700,1,0,0,21,52,0,75,3,0,0,0,-1,-1,132,OPEN_WATER;TEAMS=3,Kingdom for sale(allies).h3m
0,open,Land of Titans,108,4,AB,1,2390,0,8166,True,7,4032,0,0,1,7,39,3,52,0,1,1,2,7,2,108,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,Land of Titans.h3m
0,open,Land of Titans (Allied),108,4,AB,1,2390,0,8166,True,7,4032,0,0,1,7,39,3,52,2,1,1,2,7,2,108,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER;TEAMS=2,Land of Titans (Allied).h3m
0,open,Loss of Innocence,108,6,AB,1,2485,0,2485,True,8,3416,1,0,6,10,49,0,7,0,0,0,0,-1,-1,16,OPEN_WATER,Loss of Innocence.h3m
0,open,Loss of Innocence(Allies),108,6,AB,1,2485,0,2485,True,8,3414,1,0,6,10,49,0,7,3,0,0,0,-1,-1,16,OPEN_WATER;TEAMS=3,Loss of Innocence(Allies).h3m
0,open,Meeting in Muzgob,108,8,AB,1,2736,0,8696,True,1,3271,0,3,1,12,65,0,38,0,0,0,3,-1,-1,126,GATE;OPEN_WATER,Meeting in Muzgob.h3m
0,open,Meeting in Muzgob(Allies),108,8,AB,1,2736,0,8696,True,1,3269,0,3,1,12,64,0,38,4,0,0,3,-1,-1,126,GATE;OPEN_WATER;TEAMS=4,Meeting in Muzgob(Allies).h3m
0,open,Middletown,108,4,ROE,2,2598,0,11475,True,4,2739,0,0,5,2,36,3,42,0,1,1,0,6,-1,12,UNDERGROUND;ZMAX=1;OPEN_WATER,Middletown.h3m
0,open,Monk's Retreat,108,6,SOD,1,2969,0,9242,True,8,3968,0,0,4,6,56,3,96,0,1,1,2,-1,-1,405,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,Monk's Retreat.h3m
0,open,Monk's Retreat Allied,108,6,SOD,1,2969,0,9242,True,8,3968,0,0,4,6,56,3,96,3,1,1,2,-1,-1,405,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER;TEAMS=3,Monk's Retreat Allied.h3m
0,open,Noahs Ark,108,3,ROE,1,5548,0,9005,True,1,2627,0,0,0,3,25,3,39,0,1,1,0,8,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Noahs Ark.h3m
0,open,Peaceful Ending,108,6,SOD,2,131,0,6841,True,1,3299,2,0,0,10,52,0,11,0,1,1,0,-1,-1,204,UNDERGROUND;ZMAX=1;OPEN_WATER,Peaceful Ending.h3m
0,open,Peaceful Ending - Allied,108,6,SOD,2,131,0,6841,True,1,3299,2,0,0,10,52,0,11,3,1,1,0,-1,-1,204,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=3,Peaceful Ending - Allied.h3m
0,open,Pestilence Lake,108,3,SOD,4,481,0,9041,True,2,2216,0,1,0,14,61,2,3,0,0,0,0,-1,-1,104,OPEN_WATER,Pestilence Lake.h3m
0,open,Pestilence Lake Allies,108,3,SOD,4,481,0,9041,True,2,2216,0,1,0,14,61,2,3,2,0,0,0,-1,-1,108,OPEN_WATER;TEAMS=2,Pestilence Lake Allies.h3m
0,open,Rise of the Phoenix,108,4,SOD,1,258,0,10373,True,1,3811,1,0,0,8,36,4,17,0,1,1,0,7,-1,114,UNDERGROUND;ZMAX=1;OPEN_WATER,Rise of the Phoenix.h3m
0,open,Rise of the Phoenix Allied,108,4,SOD,1,258,0,10373,True,1,3811,1,0,0,8,36,4,17,2,1,1,0,7,-1,114,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,Rise of the Phoenix Allied.h3m
0,open,South of Hell,108,3,AB,2,2952,0,11664,True,4,3316,0,0,6,5,33,0,73,0,1,1,3,-1,-1,314,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,South of Hell.h3m
0,open,South of Hell (Allies),108,3,AB,1,2949,0,11664,True,4,3294,0,0,6,5,31,0,73,2,1,1,3,-1,-1,314,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER;TEAMS=2,South of Hell (Allies).h3m
0,open,Southern Cross,108,5,ROE,1,7566,0,10947,True,31,2820,0,1,0,9,43,2,29,0,1,1,0,6,-1,111,UNDERGROUND;ZMAX=1;OPEN_WATER,Southern Cross.h3m
0,open,The Battle of Daeyan's Ford,108,6,SOD,1,560,0,3945,True,3,3642,0,0,0,17,60,6,4,0,1,1,0,-1,-1,284,UNDERGROUND;ZMAX=1;OPEN_WATER,The Battle of Daeyan's Ford.h3m
0,open,The Five Rings,108,6,ROE,3,2288,0,10012,True,2,3591,0,0,6,0,46,6,1,2,1,1,0,6,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,The Five Rings.h3m
0,open,The Gauntlet,108,6,AB,3,3978,0,10533,True,8,3483,0,8,5,5,42,0,54,2,1,1,0,-1,2,366,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,The Gauntlet.h3m
0,open,Titans Winter,108,6,ROE,2,2393,0,9476,True,3,3387,0,0,11,0,60,1,2,0,0,0,0,-1,-1,28,OPEN_WATER,Titans Winter.h3m
0,open,Vial of Life,108,4,ROE,1,4839,0,6307,True,4,3090,1,0,1,4,20,1,73,0,0,0,0,10,-1,129,OPEN_WATER,Vial of Life.h3m
0,open,Warlords,108,8,ROE,1,1103,0,1103,True,1,2698,0,0,0,8,76,16,4,0,0,0,0,-1,-1,0,OPEN_WATER,Warlords.h3m
0,open,WarlordsA,108,8,ROE,1,1103,0,1103,True,1,2698,0,0,0,8,76,16,4,4,0,0,0,-1,-1,0,OPEN_WATER;TEAMS=4,WarlordsA.h3m
0,open,Xathras Prize,108,7,ROE,1,4181,0,8740,True,3,3330,2,0,10,6,49,0,64,0,1,1,0,4,-1,156,UNDERGROUND;ZMAX=1;OPEN_WATER,Xathras Prize.h3m
0,open,Back For Revenge,144,8,SOD,4,6956,0,18043,True,10,5319,0,0,23,0,59,17,46,0,0,0,6,7,2,8,GATE;OPEN_WATER,Back For Revenge.h3m
0,open,Back For Revenge - Allied,144,8,SOD,4,6956,0,18043,True,10,5319,0,0,23,0,59,17,46,4,0,0,6,7,2,8,GATE;OPEN_WATER;TEAMS=4,Back For Revenge - Allied.h3m
